43
0	3 1	0 2 0 0		0 1 0 0		1
1	4 1	2 0 0 0		3 0 0 0		1
2	5 1	2 2 0 0		2 0 0 0		1
3	6 1	0 0 1 0		0 0 0 0		1
4	7 2	0 3 0 0		0 2 0 0		1
5	8 2	3 0 0 0		0 0 0 0		1
6	9 1	0 1 0 0		0 0 0 0		1
7	10 2	2 0 0 0		1 0 0 0		1
8	11 2	0 0 0 1		0 0 0 0		1
9	12 2	2 2 0 0		0 1 0 0		1
10	13 1	0 0 0 0		0 0 0 0		1
11	14 2	0 0 2 0		0 0 0 0		0
12	15 3	2 0 0 0		0 0 0 0		0
13	16 3	0 2 0 0		0 0 0 0		0
14	17 2	0 0 0 1		0 0 0 0		0
15	18 2	0 0 0 0		0 0 0 0		0
16	19 3	0 0 2 0		0 0 0 0		0
17	20 5	3 0 0 0		0 0 0 0		0
18	21 4	2 2 0 0		0 0 0 0		-1
19	22 2	0 0 0 0		0 0 0 0		0
20	23 3	0 0 0 1		0 0 0 0		0
21	24 4	0 0 2 0		0 0 0 0		0
22	25 5	2 0 0 0		0 0 0 0		0
23	26 5	0 2 0 0		0 0 0 0		0
24	27 3	0 0 0 0		0 0 0 0		0
25	28 4	0 0 0 1		0 0 0 0		0
26	29 4	1 1 0 0		0 0 0 0		0
27	30 6	0 0 3 0		0 0 0 0		0
28	31 6	3 0 0 0		0 0 0 0		0
29	32 6	0 3 0 0		0 0 0 0		0
30	33 4	0 0 0 0		0 0 0 0		0
31	34 5	0 0 0 1		0 0 0 0		0
32	35 5	0 1 0 0		0 0 0 0		0
33	36 7	3 0 0 0		0 0 0 0		0
34	37 4	0 0 0 0		0 0 0 0		0
35	38 7	0 0 3 0		0 0 0 0		0
36	39 6	0 0 0 1		0 0 0 0		0
37	40 6	0 2 0 0		0 0 0 0		0
38	42 6	2 0 0 0		0 0 0 0		0
39	44 5	0 0 0 0		0 0 0 0		0
40	46 7	3 3 0 0		0 0 0 0		0
41	50 6	0 0 0 0		0 0 0 0		0
42	99 0	0 0 0 0		0 0 0 0		0
